canonical_variant_id,product_name,model_code,bundle,best_country,best_source,best_price_czk
parkside-petps-1100-a1-base,Ponorné kalové čerpadlo PETPS 1100 A1,PETPS 1100 A1,base,,,
parkside-pws-230-e5-base,Úhlová bruska PWS 230 E5,PWS 230 E5,base,,,
parkside-papp-2012-a1-12ah-2pcs,Sada Smart akumulátor 12 Ah PAPP 2012 A1, 2dílná,PAPP 2012 A1,battery_pack_multi,,,
parkside-pdssa-20-li-b2-smart-4ah,Aku rázový utahovák PDSSA 20-Li B2, Smart 4 Ah,PDSSA 20-Li B2,with_battery,,,
parkside-ppbks-56-b2-electric-start,Benzínová řetězová pila s elektrickým startováním PPBKS 56 B2,PPBKS 56 B2,base,,,
lidl-unknown-base,Unknown Title,UNKNOWN,base,,,
,Lidl Product (PDF Extracted),100399659,,,,
,Lidl Product (PDF Extracted),100399918,,,,
,Lidl Product (PDF Extracted),100399453,,,,
,Lidl Product (PDF Extracted),100399734,,,,
,Lidl Product (PDF Extracted),100399906,,,,
,Lidl Product (PDF Extracted),100399919,,,,
,Lidl Product (PDF Extracted),100399747,,,,
,Lidl Product (PDF Extracted),100398817,,,,
,Lidl Product (PDF Extracted),100398589,,,,
,Lidl Product (PDF Extracted),100405140,,,,
,Lidl Product (PDF Extracted),100398569,,,,
,Lidl Product (PDF Extracted),100373186,,,,
,Lidl Product (PDF Extracted),100400603,,,,
,Lidl Product (PDF Extracted),100404673,,,,
,Lidl Product (PDF Extracted),100399910,,,,
,Lidl Product (PDF Extracted),100395738,,,,
,Lidl Product (PDF Extracted),100398431,,,,
,Lidl Product (PDF Extracted),100400782,,,,
,Lidl Product (PDF Extracted),100405458,,,,
,Lidl Product (PDF Extracted),100400775,,,,
,Lidl Product (PDF Extracted),100343158,,,,
,Lidl Product (PDF Extracted),100354997,,,,
,Lidl Product (PDF Extracted),100393741,,,,
,Lidl Product (PDF Extracted),100396040,,,,
,Lidl Product (PDF Extracted),100404437,,,,
,Lidl Product (PDF Extracted),100397960,,,,
,Lidl Product (PDF Extracted),100393111,,,,
,Lidl Product (PDF Extracted),100400596,,,,
,Lidl Product (PDF Extracted),100401098,,,,
,Lidl Product (PDF Extracted),100392562,,,,
,Lidl Product (PDF Extracted),100401327,,,,
,Lidl Product (PDF Extracted),100401349,,,,
,Lidl Product (PDF Extracted),100405422,,,,
,Lidl Product (PDF Extracted),100406090,,,,
,Lidl Product (PDF Extracted),100398876,,,,
,Lidl Product (PDF Extracted),100405671,,,,
,Lidl Product (PDF Extracted),100400903,,,,
